,AF3_max,AF4_max,AF3_time_of_max,AF4_time_of_max,label
54,4384.615234000001,4330.769043,1645901227.752178,1645901227.1817849,baseline
55,4488.205078,4409.230957,1645493885.912158,1645493885.927789,baseline
56,4446.153809,4405.6411130000015,1645493748.110223,1645493748.258909,baseline
57,4387.692383,4346.153809,1645901241.847903,1645901241.597868,baseline
58,4358.974121,4334.3588869999985,1645494276.192055,1645494276.1842382,baseline
59,4365.128418,4342.05127,1645583552.9056606,1645583552.7806098,baseline
60,4394.871582,4362.05127,1645900959.50365,1645900960.261569,baseline
61,4360.512695,4332.307617,1645494198.263575,1645494196.118002,baseline
62,4496.410156,4460.512695,1645817826.6811712,1645817829.127414,baseline
63,4437.436035,4361.025879,1645583746.11689,1645583746.179415,baseline
64,4394.3588869999985,4353.846191,1645817884.781397,1645817883.952957,baseline
65,4398.974121,4429.743652,1645901076.918541,1645901077.2857802,baseline
66,4416.410156,4371.2822270000015,1645493675.052636,1645493675.458833,baseline
67,4373.846191,4349.230957,1645583768.102375,1645583769.337252,baseline
68,4381.025879,4357.436035,1645650705.347871,1645650702.702783,baseline
69,4366.666504,4314.3588869999985,1645650631.38004,1645650629.8124402,baseline
70,4499.487305,4409.230957,1645583639.4017036,1645583639.4017036,baseline
71,4392.820313,4364.615234000001,1645817770.2143786,1645817770.0737,baseline
72,4362.563965,4330.256348,1645583778.2236712,1645583780.154142,baseline
73,4455.384765999999,4391.794922,1645493923.868979,1645493923.931701,baseline
74,4372.307617,4352.820313,1645583618.377546,1645583618.416624,baseline
75,4374.3588869999985,4354.3588869999985,1645583712.681445,1645583712.548578,baseline
76,4371.2822270000015,4327.692383,1645583692.149674,1645583691.7823381,baseline
77,4433.846191,4406.666504,1645650734.144269,1645650734.144269,baseline
78,4388.205078,4362.563965,1645493891.947771,1645493891.509202,baseline
79,4393.333496,4356.9228520000015,1645494257.140398,1645494257.78031,baseline
80,4404.615234000001,4344.615234000001,1645817893.972394,1645817893.972394,baseline
81,4373.333496,4348.205078,1645583524.816136,1645583525.175656,baseline
82,4363.0771479999985,4344.615234000001,1645583790.267621,1645583790.040967,baseline
83,4395.897461,4393.846191,1645650817.100944,1645650817.124387,baseline
84,4360.512695,4338.974121,1645494245.424463,1645494243.946239,baseline
85,4360.512695,4348.7177729999985,1645583503.885766,1645583505.190983,baseline
86,4357.94873,4334.3588869999985,1645583684.654445,1645583685.35004,baseline
87,4385.128418,4329.743652,1645494176.677378,1645494177.0138972,baseline
88,4393.846191,4366.153809,1645494348.254317,1645494348.2621331,baseline
89,4384.102539,4350.769043,1645650760.3279,1645650761.47003,baseline
90,4390.256348,4358.974121,1645650728.775202,1645650728.7986462,baseline
91,4231.2822270000015,4242.563965,1645494020.005982,1645494020.037342,baseline
92,4383.589844,4341.538574,1645901269.156417,1645901269.539284,baseline
93,4385.128418,4326.666504,1645650664.1023688,1645650664.1259134,baseline
94,4377.436035,4345.6411130000015,1645583545.480772,1645583545.68398,baseline
95,4384.615234000001,4335.384765999999,1645650636.598965,1645650636.575422,baseline
96,4397.94873,4387.692383,1645494313.858037,1645494314.318369,baseline
97,4366.666504,4333.846191,1645650752.494626,1645650751.940603,baseline
98,4373.846191,4340.0,1645650692.610068,1645650692.8056278,baseline
99,4440.0,4361.025879,1645817787.2286642,1645817787.2286642,baseline
100,4386.666504,4345.128418,1645583661.348111,1645583661.332479,baseline
101,4460.0,4394.871582,1645650618.558517,1645650618.472656,baseline
102,4370.769043,4345.128418,1645583794.871052,1645583796.176269,baseline
103,4408.7177729999985,4342.563965,1645817858.841843,1645817856.919236,baseline
104,4384.102539,4350.769043,1645650766.171661,1645650766.163847,baseline
105,4385.6411130000015,4361.538574,1645901253.9120939,1645901251.911813,baseline
106,4472.307617,4382.563965,1645817807.447292,1645817807.447292,baseline
107,4403.589844,4325.128418,1645493743.73712,1645493741.5755632,baseline
108,4428.205078,4327.692383,1645583827.23575,1645583828.1111062,baseline
109,4446.666504,4429.230957,1645650788.07148,1645650788.118468,baseline
110,4405.128418,4365.6411130000015,1645900985.4838526,1645900987.351302,baseline
111,4380.0,4316.410156,1645650739.156952,1645650739.180295,baseline
112,4372.307617,4352.820313,1645583647.873892,1645583648.045837,baseline
113,4403.0771479999985,4342.05127,1645901125.175303,1645901122.2920866,baseline
114,4358.461426,4309.743652,1645650799.9854028,1645650801.561216,baseline
115,4377.94873,4395.897461,1645650755.605071,1645650754.79898,baseline
116,4368.205078,4336.9228520000015,1645583516.3205,1645583518.196261,baseline
117,4403.0771479999985,4353.846191,1645817836.552114,1645817836.1769712,baseline
118,4418.461426,4370.769043,1645650810.512749,1645650810.512749,baseline
119,4355.384765999999,4258.974121,1645494154.950351,1645494154.582474,baseline
120,4374.871582,4318.974121,1645650745.884068,1645650746.94082,baseline
121,4365.6411130000015,4327.179688,1645650723.896945,1645650723.873501,baseline
122,4359.487305,4341.538574,1645583528.8646538,1645583531.185908,baseline
123,4389.230957,4358.974121,1645650836.716442,1645650836.716442,baseline
124,4389.230957,4343.0771479999985,1645583587.9042401,1645583589.623688,baseline
125,4374.3588869999985,4340.512695,1645583720.567458,1645583718.84801,baseline
126,4447.179688,4325.6411130000015,1645494148.6625721,1645494151.2794,baseline
127,4369.743652,4342.563965,1645583762.733009,1645583763.538023,baseline
128,4402.05127,4612.307617,1645493723.785114,1645493722.322869,baseline
129,4400.512695,4334.871582,1645901064.85435,1645901064.9090462,baseline
130,4373.846191,4363.589844,1645650661.672363,1645650661.6489198,baseline
131,4581.025879,4751.794922,1645494378.6256561,1645494377.851756,baseline
