,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
146,2,2,34821.28418734549,16739.795989843416,blink
147,3,2,1006595.1604096182,174809.69171565087,blink
148,3,2,1481393.7706292025,89556.06457367333,blink
149,3,3,45686.06609987814,20328.543819002487,blink
150,2,1,879204.6749219385,138745.2395797326,blink
151,2,2,30073.17950276846,15898.02273770795,blink
152,3,2,902443.1893405723,196166.3569119219,blink
153,3,2,1163039.2130145493,72646.84859503976,blink
154,3,2,101082.91895717435,20485.911056855588,blink
155,2,2,39946.48249464984,10327.40599302756,blink
156,3,3,23440.905371404922,11158.037741542332,blink
157,2,2,22676.84170905534,10634.935894070113,blink
158,1,3,99338.0807125311,38231.06290074375,blink
159,3,3,990315.6396213729,49564.13131735766,blink
160,2,2,90390.71824257115,12748.907532801515,blink
161,3,2,1255496.625024737,38148.32824676512,blink
162,3,2,718470.3694149561,24824.617372158133,blink
163,3,3,1340909.8542071835,258156.7643954529,blink
164,2,2,1496753.224975707,385885.21991468937,blink
165,2,3,95172.93428527615,39790.34381128821,blink
166,2,3,33406.152716901815,14124.158668800323,blink
167,2,2,21127.84445388062,9900.511528856243,blink
168,2,2,874763.7883041272,72555.61101358732,blink
169,3,3,1301031.7820325862,386090.8072713271,blink
170,2,2,30531.531744431908,9677.738987186098,blink
171,3,3,22167.437321575435,11710.266502708246,blink
172,3,2,988181.1251273736,36061.70532920491,blink
173,3,2,1492714.6914569961,555188.6727651489,blink
174,4,4,101379.61983243047,34367.44646979822,blink
175,2,2,22013.669455562063,8819.344352868695,blink
176,2,2,27191.228830236945,10413.552942829567,blink
177,3,3,22880.913652191946,11775.239701670977,blink
178,3,2,1234941.3843424222,58609.95212157111,blink
179,3,3,43254.854460633105,17530.01146501737,blink
180,3,3,18492.5194463694,6219.216061311383,blink
181,3,2,1061356.4814139495,39209.55364647992,blink
182,3,3,56307.480979972956,22315.215658319772,blink
183,3,3,1344900.6494875983,567217.7494427025,blink
184,3,2,1222273.3103333383,33112.187918669115,blink
185,3,3,1118948.6740761036,107613.24859286504,blink
186,3,3,22148.897100816415,10782.319103599646,blink
187,3,3,883019.377287963,36998.00745142653,blink
188,3,3,1015700.2713183941,217444.45799700954,blink
189,3,2,840393.850959081,235013.35630600835,blink
190,2,2,916787.1793848521,34164.28905822815,blink
191,2,2,90824.88166919429,18972.043766658302,blink
192,4,3,89793.8372915694,31818.6964884444,blink
193,3,3,26435.2984865002,13225.946157337385,blink
194,2,3,42731.147745900416,18515.67324096143,blink
195,3,3,1031915.732286953,333729.2792173726,blink
196,2,2,26114.92986694901,12750.899291816115,blink
197,2,2,23700.334894375734,11219.12776314662,blink
198,2,2,784850.1318162018,30529.99998457136,blink
199,2,2,837420.4187559946,118038.00674138928,blink
200,2,2,30178.814935547955,12336.10320239275,blink
201,3,2,1309000.6119822566,58489.74200628589,blink
202,2,2,366856.739030124,18229.776088401435,blink
203,2,2,399757.38133417914,17974.333806622024,blink
204,3,3,1503713.9004352246,111657.26022188383,blink
205,3,2,1285361.917905281,48295.568197974484,blink
