,AF3_max,AF4_max,AF_adj_max_diff,AF_adj_max_ratio,AF3_second_largest,AF4_second_largest,AF_adj_sec_max_ratio,AF_adj_sec_max_diff,label
192,5207.692383,4833.333496,314.61547950000113,1.559762955539207,5200.0,4830.256348,927.8211279106972,-8232.5642095,none
193,4976.9228520000015,4715.384765999999,211.53808650000155,1.455045807059303,4970.769043,4709.230957,719.343138372169,-8289.487304499999,none
194,5114.3588869999985,4789.743652,264.8715829999983,1.4907358928975383,5108.205078,4779.487305,857.3033612724566,-8231.025879,none
195,7867.179687999998,6935.897461,1099.4873049999992,1.3948798460510083,7847.179687999998,6913.333495999998,3695.065176733131,-7201.025390000001,none
196,4940.512695,4707.179688,191.28124900000057,1.4085411675594206,4935.384765999999,4691.2822270000015,695.4980957923726,-8275.897461000002,none
197,4927.179688,4683.589844,190.2563479999999,1.4406173817856984,4920.0,4677.94873,667.2847753916385,-8314.872070000001,none
198,7991.794922,5119.487305,3055.1279300000006,4.406230826817376,7865.641113,5112.820313,3642.2870275958603,-5509.486817000001,none
199,7849.743651999999,5872.307617,2103.333495499999,2.2172429993865483,7823.077148,5871.2822270000015,3678.0338349521635,-6211.025391500001,none
200,5227.179688,4813.846191,360.76904450000166,1.6184610472106888,5225.6411130000015,4794.871582,994.2351553813505,-8082.820312499996,none
201,7946.153809,5466.153809,2860.7690435000004,3.3190601458129385,7860.0,5451.2822270000015,3626.7294498772517,-5675.641113500002,none
202,7795.897461,4938.974121,2836.410644999999,5.225365423243492,7785.128418000001,4931.2822270000015,3516.566442695079,-5702.05127,none
203,7792.820312999998,4925.6411130000015,2908.974121999998,5.034494729188427,7758.974120999998,4917.94873,3553.5121878529408,-5526.4106440000005,none
204,8045.641113,5637.94873,2740.5126960000016,2.875745486282211,7857.436035,5613.333496,3679.828366653038,-5776.9228520000015,none
205,7958.461426000002,5153.846191,3143.076783000003,4.285445837031153,7902.563965,5142.05127,3704.634097653,-5295.384644000001,none
206,7947.692383,5496.410156,2802.307739499999,3.175791375183159,7892.820312999998,5481.538574,3683.6551734129907,-5654.615599500002,none
207,4988.7177729999985,4665.128418,282.8200679999982,1.7084121685483382,4984.102539,4664.102539,717.2817134916113,-8252.564209,none
208,5018.974121,4707.179688,232.5637200000001,1.5052914483840794,5012.820313,4701.025879,764.9769596093047,-8261.282471,none
209,7920.0,5548.7177729999985,2745.6413580000008,2.9881179432913996,7859.487305,5534.871582,3691.1095703715473,-5636.409911999999,none
