,variance_AF3,variance_AF4,label
22,15667.81971443443,5433.1306299441785,none
23,2092172.8697139644,237431.9339025038,none
24,926136.7838726552,3881.485837234624,none
25,248637.1320289544,5434.304175092502,none
26,783505.4275281351,4317.228436971266,none
27,106627.42008228117,3107.2857987740144,none
28,1912570.7224401473,187977.89933037543,none
29,752412.0745544585,11130.656533028698,none
30,1648031.3688716271,151483.92279106347,none
31,585183.2315887135,4509.9998675449015,none
32,473432.97984881443,2171.3381374934565,none
33,25926.92983444356,2772.992929050629,none
34,1680690.7122843093,171967.3841650462,none
35,1097761.5254966647,3905.5549299053755,none
36,1261421.0405118628,106873.051541876,none
37,1017375.9246680966,72223.1693187606,none
38,603264.7517098045,11392.23964355004,none
39,253846.87701538918,60492.905707241785,none
40,349290.67300882406,2370.6829878314184,none
41,224554.60698309614,58041.67543492657,none
42,1700915.803347968,150138.6835676548,none
43,935693.3643026968,3689.523097282336,none
44,592135.7472274656,37485.646904744644,none
45,1532475.8868598528,163370.8298323055,none
46,161362.58809123404,34773.08774310477,none
47,659344.3470415054,3076.5899113156124,none
48,1053850.5615226096,2738.5159726432844,none
49,1074130.7706784056,2672.0332178986687,none
50,885587.3023968708,4817.055634023289,none
51,945424.1666869025,125529.78397096903,none
52,1692448.049839058,180620.9546402343,none
53,278066.4746319654,95791.37060961455,none
54,1915112.474588652,207837.67730484635,none
55,393555.4726528497,3070.4751252147757,none
56,1460742.4268156565,83213.04517706735,none
57,439892.4158001799,3369.7022074923752,none
58,2029173.3032676692,183515.39505148615,none
59,930516.2400427063,2083.9362505747495,none
60,1664227.3534961974,226122.472804449,none
61,794721.4871281633,2222.6095883809144,none
62,1825802.2040074663,187084.14690012296,none
63,1850985.8283777193,179160.7406778877,none
64,659996.1146217085,3601.8860177805873,none
65,1513789.1708131179,121759.51260739153,none
66,686838.1493152758,3287.4272444946023,none
67,1086445.2292129598,4751.838753091853,none
68,887130.799005502,2267.5824979316103,none
69,1595114.3461463454,106636.06785039009,none
70,1264964.5528919578,152682.0055433828,none
71,461967.6156904067,3079.343378373019,none
72,951901.5087475708,2280.6826932511644,none
73,57399.18494238321,3577.673952951631,none
74,988366.2176955637,2866.4524388687587,none
75,454810.74235502596,88484.63546706921,none
76,737203.2767617812,24060.6875954401,none
77,1315995.4391497062,132931.70058031855,none
78,1987163.4843005643,199949.23204129632,none
79,48420.81779350866,2293.576252476529,none
80,84502.98854503351,2805.1546749420727,none
81,1694496.8678751327,102120.26206704501,none
82,1069896.058607004,7075.065820904828,none
83,827263.3751559595,17056.05834478934,none
84,910934.9823329378,2728.5557841486802,none
85,466859.6209410602,10001.92167856166,none
86,606599.5134401838,71795.74370981209,none
87,183933.2751269523,76418.47103104462,none
88,544689.5501408332,14974.437042811605,none
89,1111774.3171761504,4859.456828245903,none
90,1052211.2482284023,3871.6141131961895,none
91,1919646.6977846203,197077.52595547395,none
92,351327.96639798157,17545.753101264236,none
93,772057.4384708456,3316.0086138720535,none
94,186664.67443358424,63220.95956758233,none
95,412196.1181255006,17414.578187309184,none
96,156720.6288722471,48711.78791109082,none
97,562879.7767429677,21522.78415083208,none
98,890199.7098684561,3082.1560125493343,none
99,124399.18665368168,31295.170328607408,none
100,653691.5440266385,4248.6073905056655,none
101,1904523.5475551134,189343.83184993797,none
102,1503703.7072418327,156762.80279034137,none
103,688784.7129794359,3031.426537908922,none
104,985573.7038962864,3632.9316166959034,none
105,954027.4791500573,12417.968012716085,none
106,863004.6189826357,3082.361275837184,none
107,441660.1474206489,1437.4466716859886,none
108,1553333.4495981135,111043.28804369473,none
109,319427.2578399005,2603.72086763467,none
110,143762.2034234362,41307.03842195127,none
111,1434150.572490655,3779.557716224286,none
112,1485618.64949097,83819.55198698575,none
113,861536.2001836402,2417.598969976281,none
114,947697.1028128442,13261.294700463533,none
115,341535.81026557344,3281.3187076993963,none
116,861835.7356922731,5019.320160763957,none
117,51245.5559272331,4553.803540445474,none
118,772596.4612071151,3230.520442357907,none
119,727391.039264368,3863.9023668437367,none
120,976749.6077416106,3324.2573714901096,none
121,929561.9769200912,6148.0531350222,none
122,147238.69712782803,16491.739075367834,none
123,1134949.3709796236,97121.86024099636,none
124,1451511.288186526,76454.523450573,none
125,1621234.1610149757,182586.58948788242,none
126,331636.91291676013,3103.95277392313,none
127,1009340.9130483653,111746.45484936918,none
128,729687.3357732855,2205.236570115735,none
129,1382699.7519310557,15605.408773216039,none
130,893787.4681908787,2170.283472224861,none
0,4835.202754125002,196106.99456540955,none
1,3591.5358067129164,173781.3112850261,none
2,13516.679850936765,13634.674146895148,none
3,7604.836925866832,425671.198978486,none
4,4104.762067034021,279968.62087806466,none
5,3356.828814259301,4331.714066933192,none
6,29265.381832194576,264730.2106715426,none
7,1640.3321662207481,2363.4376208528756,none
8,4312.6072510734575,5958.657736801532,none
9,11041.478697062967,11911.86183502172,none
10,5777.553305386927,4649.826841745734,none
11,3719.583242835934,4392.656924151013,none
