,AF3_max,AF4_max,label
89,5565.6411130000015,4835.897461,example
90,7871.794922,7155.384765999999,example
91,4929.743652,4722.05127,example
92,4980.512695,4771.794922,example
93,5055.897461,4703.0771479999985,example
94,7870.769043000001,7171.282227,example
95,7862.05127,6016.410156,example
96,5048.205078,4786.153809,example
97,7982.563965,5521.025879,example
98,7935.897461,5766.666504,example
99,7845.641113,5035.897461,example
100,4880.512695,4711.2822270000015,example
101,7883.589844,5094.3588869999985,example
102,7938.461426000002,5335.384765999999,example
103,7864.102539,5620.0,example
104,7894.358887,7277.436035,example
105,4995.384765999999,4662.563965,example
106,6989.743651999999,5262.563965,example
107,7854.871581999999,6615.897461,example
108,7852.820312999998,6281.538574,example
109,5100.512695,4794.3588869999985,example
110,7862.563965,5882.563965,example
111,5168.7177729999985,4802.05127,example
112,7877.436035,5914.3588869999985,example
113,7851.282227,5438.974121,example
114,7964.102539,6073.846191,example
115,4899.487305,4617.436035,example
116,5010.769043,4736.410156,example
117,8002.563965,5141.025879,example
118,7880.512695,5452.307617,example
119,5013.846191,4735.384765999999,example
120,7861.025879000002,4984.615234000001,example
121,7893.846191,5842.05127,example
122,7877.94873,5727.179688,example
123,7884.615234000001,5686.153809,example
124,7758.974120999998,6360.0,example
125,5035.897461,4702.563965,example
126,7882.05127,6350.256348,example
127,4991.794922,4777.436035,example
128,5323.0771479999985,4593.333496,example
129,7876.922852,5893.846191,example
130,7895.384765999999,4984.102539,example
131,5014.871582,4717.94873,example
132,5007.179688,4780.0,example
133,5518.974121,4970.769043,example
134,7989.230956999999,5560.512695,example
135,7814.358887,4868.7177729999985,example
136,7975.897461,5330.256348,example
137,7933.333495999998,5222.563965,example
138,7823.589844,6580.0,example
139,4961.025879,4686.153809,example
140,4952.820313,4647.179688,example
141,4925.128418,4678.974121,example
142,7977.94873,5195.384765999999,example
143,7872.820312999998,5419.487305,example
144,7346.153809,4903.589844,example
145,7871.282227,6902.05127,example
146,5163.589844,4798.461426,example
147,7848.717773,6388.205078,example
148,7878.461426000002,5590.769043,example
149,5074.871582,4794.3588869999985,example
150,7888.205078,5247.179688,example
151,5102.563965,4778.974121,example
152,7867.179687999998,6424.615234000001,example
153,7945.128418000001,5558.974121,example
154,5115.897461,4692.307617,example
155,5049.743652,4681.538574,example
156,4883.589844,4632.820313,example
157,4904.615234000001,4657.94873,example
158,5055.897461,4777.94873,example
159,7950.769043000001,5320.0,example
160,5954.3588869999985,4708.7177729999985,example
161,7994.871581999999,5047.692383,example
162,7883.589844,5107.692383,example
163,7871.282227,6521.538574,example
164,7883.589844,6943.077148,example
165,5085.6411130000015,4795.897461,example
166,4996.9228520000015,4670.256348,example
167,4958.974121,4649.743652,example
168,7885.128418000001,5622.05127,example
169,7866.666504000002,6893.846191,example
170,5071.794922,4658.461426,example
171,4935.897461,4706.666504,example
172,7903.077148,5115.897461,example
173,7872.820312999998,7205.128418000001,example
174,5142.563965,4825.6411130000015,example
175,5030.769043,4671.794922,example
176,4975.897461,4678.461426,example
177,4799.487305,4617.436035,example
178,7963.589844,5294.871582,example
179,5015.384765999999,4732.820313,example
180,4949.743652,4658.461426,example
181,7945.641113,5171.794922,example
182,5068.205078,4791.794922,example
183,7893.846191,7329.230956999999,example
184,8098.974120999998,4877.436035,example
185,7925.641113,5914.3588869999985,example
186,4929.230957,4660.0,example
187,7914.358887,5188.205078,example
188,7869.743651999999,6714.871581999999,example
189,7875.897461,6827.692383,example
190,7908.717773,5030.769043,example
